#{"t_start": 1734444340.750059, "env_id": "None"}
r,l,t
-110.99979,711,39.68523
-95.42175,733,40.839871
-104.05392,802,44.457059
-108.77233,816,45.212579
-113.85658,833,46.12449
-36.619473,1000,55.116887
-37.930798,1000,55.116936
-47.213852,1000,55.116953
-25.67533,1000,55.116965
-45.33737,1000,55.116976
-41.39205,1000,92.550979
-79.72912,1000,93.72914
-13.669352,1000,97.417882
-66.996254,1000,98.191509
-74.35846,1000,99.120872
-77.77718,1000,108.088408
-72.65576,1000,108.088457
-72.69568,1000,108.088474
-20.863407,1000,108.088486
-69.79817,1000,108.088497
-47.368397,1000,146.775088
-69.38733,1000,148.028035
-36.508064,1000,151.901356
-13.494781,1000,152.70764
-82.81719,1000,153.713885
-3.7037199,1000,163.103019
-65.8699,1000,163.103069
-50.46431,1000,163.103086
-62.71151,1000,163.103098
-51.31076,1000,163.103108
-45.76228,1000,202.197264
-40.59357,1000,203.479594
-45.392513,1000,207.328198
-69.49104,1000,208.145824
-49.664356,1000,209.128033
-54.838467,1000,218.404395
-79.451416,1000,218.404443
1.562292,1000,218.40446
-82.75795,1000,218.404472
-81.480804,1000,218.404483
-76.97307,1000,257.732929
-76.18989,1000,259.027516
-39.79929,1000,263.039343
-55.93155,1000,263.883974
-37.29388,1000,264.86401
-142.1644,926,269.952279
-100.44632,232,270.889643
19.298307,1000,274.045196
-45.054825,1000,274.045248
-46.488132,1000,274.045265
-45.161144,1000,274.0453
-87.41839,152,282.342779
-12.903454,1000,314.063798
-80.13183,1000,317.840245
-9.803999,1000,318.621439
-41.817802,1000,319.561702
-20.792261,1000,324.675667
-39.39408,1000,325.66414
-30.555698,1000,328.890728
-74.264206,1000,328.890774
-27.051792,1000,328.890792
-27.0835,1000,337.263059
-25.56568,1000,369.603435
120.27995,1000,373.43634
128.95651,1000,374.234926
187.27197,1000,375.188281
187.23267,1000,380.35833
224.10925,1000,381.315006
141.58893,1000,384.541397
102.020584,1000,384.541445
146.7935,1000,384.541462
141.15791,1000,392.97023
75.08519,1000,425.099443
141.87773,1000,428.926329
158.99254,1000,429.726468
140.7402,1000,430.681441
105.12856,1000,435.822845
179.24481,1000,436.777894
141.49698,1000,439.996184
220.46155,1000,439.996229
161.43741,1000,439.996246
106.52247,1000,448.536462
-59.865677,1000,480.899581
-71.6974,1000,484.787136
-76.66583,1000,485.594813
-84.4712,1000,486.554902
-74.44015,1000,491.724739
-72.22146,1000,492.675086
-88.058846,1000,495.825962
-81.05978,1000,495.826008
-63.933636,1000,495.826024
-39.621925,1000,504.043611
153.37807,1000,535.617699
64.3837,1000,539.456786
50.000034,1000,540.232932
152.87306,1000,541.165305
52.727737,1000,546.250577
90.477,1000,547.210828
41.791313,1000,550.418707
96.15494,1000,550.418753
60.536224,1000,550.41877
-17.562748,1000,558.878876
-79.16603,1000,591.118305
139.1305,1000,594.915468
78.69498,1000,595.70728
242.30663,1000,596.655996
80.06509,1000,601.797189
261.28888,1000,602.740634
121.45424,1000,605.899098
203.50182,1000,605.899146
115.488365,1000,605.899164
204.05298,1000,614.37762
60.95916,1000,646.641821
112.45305,1000,650.524399
150.00064,1000,651.330549
203.56993,1000,652.286788
40.35221,1000,657.479382
178.52364,1000,658.445529
21.622498,1000,661.680099
262.60562,1000,661.680146
276.8986,1000,661.680162
337.72076,1000,670.059268
118.54349,1000,702.283229
236.76865,1000,706.079142
124.42262,1000,706.863296
117.54397,1000,707.795529
156.88054,1000,712.884126
164.40654,1000,713.857736
158.86472,1000,717.040987
221.19066,1000,717.041034
249.8085,1000,717.04105
343.5445,1000,725.296299
-72.02735,1000,756.958026
-88.678474,1000,760.787174
-74.02528,1000,761.591158
-90.321785,1000,762.549038
-73.33256,1000,767.691088
-34.362553,1000,768.639309
-70.96696,1000,771.84144
-34.482273,1000,771.841487
-66.21544,1000,771.841504
30.584703,1000,780.18128
254.64929,1000,811.963812
362.835,1000,815.694949
387.80112,1000,816.471231
210.63416,1000,817.398763
383.26746,1000,822.428278
-93.1263,1000,823.364024
-93.35463,1000,826.489802
-89.965706,1000,826.489848
-88.59232,1000,826.489865
-83.107254,1000,834.816746
202.58255,1000,866.615756
180.40485,1000,870.403501
155.03226,1000,871.185172
208.26904,1000,872.128572
138.70805,1000,877.291191
256.05832,1000,878.240591
196.29434,1000,881.429101
125.80588,1000,881.429149
247.51561,1000,881.429165
229.99779,1000,889.755429
-8.246086,553,911.636392
-16.003838,930,917.707902
-39.849483,1000,925.380229
202.54575,1000,926.176607
214.37971,1000,927.128844
271.42407,1000,932.31016
186.64139,1000,933.284562
138.90436,1000,936.526879
136.92967,1000,936.526927
-15.222664,949,942.387224
68.141655,1000,967.951287
53.02603,1000,974.06758
287.4141,782,980.738154
160.07947,797,981.692389
387.9597,873,981.818426
78.21917,1000,982.011462
291.15268,1000,982.82263
326.32773,1000,983.792277
466.09735,1000,989.962955
280.13263,1000,998.833456
539.998,1000,1024.362793
520.7914,1000,1030.589322
498.68143,1000,1037.292808
-93.99313,1000,1038.148471
539.8582,1000,1038.273699
595.9695,1000,1038.470415
-93.21949,1000,1039.27265
452.97968,1000,1040.242148
-93.24239,1000,1046.444269
-75.52365,1000,1055.427137
590.3235,1000,1081.165816
282.72668,814,1084.459328
758.08673,1000,1087.427984
401.78778,1000,1094.132041
311.76086,1000,1095.102049
505.96933,1000,1095.29679
135.81804,1000,1096.097584
468.68698,1000,1097.052434
-43.49803,243,1098.219846
249.84122,1000,1103.112721
-25.584625,184,1105.321448
451.09006,1000,1111.762791
-62.489265,218,1123.683971
-33.797752,1000,1136.438878
-34.425976,1000,1142.540268
-44.636414,1000,1149.059858
4.0900917,1000,1150.164751
-30.555256,1000,1150.950837
-11.537998,1000,1151.893894
-29.999699,1000,1153.058064
-21.874544,1000,1157.941048
-1.0981102,1000,1160.121409
-49.99973,1000,1178.366276
-37.25463,1000,1191.153453
-17.909924,1000,1197.215077
-49.99973,1000,1203.775331
-31.817934,1000,1204.87907
-22.508781,1000,1205.665193
-34.306293,1000,1206.607517
-35.81055,1000,1207.775478
-28.327324,1000,1212.657774
-32.47563,1000,1214.86188
-80.62546,548,1221.39407
-68.59682,294,1228.973591
-52.054523,1000,1233.499082
-92.70874,619,1240.112703
-57.085907,201,1240.306245
-86.684204,518,1243.810174
-40.25131,1000,1252.769429
-29.824263,1000,1259.326908
-30.920788,1000,1260.460419
-19.013788,1000,1262.211616
-29.824263,1000,1263.41072
-86.18889,564,1271.787289
-27.605042,231,1276.508514
-36.454594,1000,1277.446918
16.041973,1000,1289.731385
-63.811058,254,1290.876891
-32.384087,1000,1296.294499
6.582895,1000,1300.051249
-9.40787,1000,1309.123384
-9.604022,1000,1315.895875
0.86538935,1000,1317.05788
12.245859,1000,1318.78845
18.32176,1000,1328.15722
-30.463293,1000,1333.639489
-21.13655,265,1342.821343
-26.73956,1000,1345.733032
-38.906494,1000,1346.869267
-41.558186,1000,1352.205135
-0.68414074,1000,1355.869024
-85.40074,1000,1364.784385
-29.999702,1000,1371.435912
-32.9071,1000,1372.570294
-1.9600016,1000,1374.31061
-23.566471,1000,1389.271549
-40.06283,1000,1398.461768
-30.656633,1000,1401.343951
-34.2558,1000,1402.47713
-60.25461,239,1402.549429
7.280636,1000,1407.84853
-35.48368,1000,1411.553513
-48.01198,1000,1420.596569
-58.4414,223,1423.968248
-22.07773,1000,1427.152207
-8.474241,1000,1428.257406
9.21533,1000,1429.961785
-1.3600358,1000,1453.560526
-40.06283,1000,1456.415375
-28.029966,1000,1457.524499
-41.74731,1000,1457.594086
-29.104149,1000,1462.782957
