#{"t_start": 1734382690.4546685, "env_id": "None"}
r,l,t
-151.81267,875,50.301033
-63.963627,1000,57.237962
-40.063103,1000,57.238016
-7.590849,1000,57.238034
-40.652847,1000,57.238046
-73.606476,1000,57.238057
-25.926218,1000,57.238067
-9.448707,1000,57.238077
-61.67217,1000,57.238086
-36.39574,1000,57.238096
-26.05661,1000,103.815206
-49.820698,1000,110.624109
-62.024982,1000,110.624163
-46.84386,1000,110.62418
-53.90058,1000,110.624192
-41.935493,1000,110.624202
-55.056026,1000,110.624212
3.942305,1000,110.624222
-45.20551,1000,110.624231
-1.408368,1000,110.624241
-26.73985,1000,209.673606
-62.686222,1000,216.958702
-28.338903,1000,216.958752
-23.840906,1000,216.958769
-76.89711,1000,216.958781
-45.205338,1000,216.958791
-24.764801,1000,216.958801
-77.27214,1000,216.958811
-46.843803,1000,216.95882
-49.458344,1000,216.95883
-30.232332,1000,263.975834
-82.3315,1000,270.67133
-44.983845,1000,270.671378
-57.528755,1000,270.671396
-55.555187,1000,270.67141
-52.681263,1000,270.671421
-49.324177,1000,270.671432
-75.69392,1000,270.671441
-37.984436,1000,270.67145
-10.256173,1000,270.67146
-42.95307,1000,367.334414
-23.587696,1000,373.956373
-62.02497,1000,373.956421
42.349976,1000,373.956438
-67.2615,1000,373.956449
-45.28876,1000,373.95646
-66.10132,1000,373.956469
-53.586082,1000,373.956479
-63.086956,1000,373.956488
84.78379,1000,373.956497
-32.03904,1000,419.822691
-46.428356,1000,426.350614
-75.43806,1000,426.350661
-54.545322,1000,426.350677
-26.47061,1000,426.350689
-46.03155,1000,426.350699
-69.798225,1000,426.350708
35.41797,1000,426.350718
-56.521553,1000,426.350728
46.246033,1000,426.350737
27.868713,1000,522.871277
-49.820747,1000,529.821242
-51.048786,1000,529.82129
20.99753,1000,529.821307
-42.17668,1000,529.821319
-19.192165,1000,529.821329
-67.163795,1000,529.821338
-53.795208,1000,529.821348
-9.374421,1000,529.821357
-52.054596,1000,529.821366
-63.815468,1000,576.147044
-28.571148,1000,582.81342
-53.41591,1000,582.813467
-53.94714,1000,582.813484
-26.199034,1000,582.813496
-61.976913,1000,582.813507
-47.882523,1000,582.813516
-42.238033,1000,582.813525
-68.65162,1000,582.813534
81.15902,1000,582.813544
-38.14415,1000,679.407161
-28.081896,1000,686.064133
-53.41602,1000,686.064188
-27.152126,1000,686.064204
-11.2625265,1000,686.064216
-43.573452,1000,686.064227
-48.33928,1000,686.064236
101.49043,1000,686.064246
139.87108,1000,686.064255
-52.19113,1000,686.064265
-147.87207,789,728.225111
118.540535,1000,732.820213
-34.30633,1000,739.598543
-11.438847,1000,739.598592
-62.457043,1000,739.598609
-50.330982,1000,739.59862
119.67338,1000,739.59863
-58.456745,1000,739.59864
142.85802,1000,739.59865
-33.717724,1000,739.598659
59.592056,346,807.798861
232.20145,1000,830.855883
-62.711544,1000,835.367881
30.436096,1000,841.984585
20.915087,1000,841.984632
-39.99998,1000,841.984649
-36.30582,1000,841.98466
-6.715724,1000,841.984671
2.0406895,1000,841.98468
33.859543,1000,841.98469
26.761265,1000,860.282839
25.491413,1000,883.718985
31.388262,1000,888.341401
-32.907314,1000,895.208516
-52.542175,1000,895.208565
-41.348797,1000,895.208582
214.4827,1000,895.208593
-42.65211,1000,895.208603
-37.30384,1000,895.208613
72.523964,1000,895.208622
-10.595464,1000,962.974991
-87.585625,548,973.480674
20.238632,407,984.116776
-135.09547,779,985.479695
-40.983376,1000,986.019119
-91.801025,933,987.028073
16.304588,282,988.188627
-27.797709,1000,997.156949
228.98593,1000,997.156996
13.139669,1000,997.157014
168.93735,1000,997.157025
138.63417,1000,997.157035
62.088272,269,1001.281639
-106.18359,708,1034.92907
-32.69208,1000,1037.338397
151.67351,1000,1038.742839
-32.885696,1000,1039.298392
220.68573,1000,1041.521854
57.510017,1000,1050.738941
-33.33312,1000,1050.738989
61.18554,1000,1050.739006
-45.714096,1000,1050.739017
11.498322,1000,1054.894413
7.766838,290,1057.230395
17.648865,311,1067.489867
