#{"t_start": 1734491947.5155394, "env_id": "None"}
r,l,t
-154.23059,932,484.69959
-176.46588,965,501.649155
-141.8377,966,502.145152
-134.70021,973,505.803606
-36.170403,1000,521.124956
-69.87903,1000,521.125009
-37.729027,1000,521.125025
-53.12482,1000,521.125036
-24.398903,1000,521.125046
25.448463,1000,521.125056
-41.717888,1000,521.125066
-44.44443,1000,521.125076
-77.19813,1000,521.125085
-47.54097,1000,521.125094
-34.375114,1000,521.125103
-53.333206,1000,521.125113
-54.225193,1000,521.125122
-39.501816,1000,521.125131
-29.03252,1000,521.12514
-14.815005,1000,521.12515
-47.040462,1000,521.125159
-48.220024,1000,521.125168
-47.194702,1000,521.125177
-47.73518,1000,521.125186
-33.33322,1000,521.125196
-16.03058,1000,521.125206
-51.219414,1000,521.125215
-59.706684,1000,521.125224
-31.271769,1000,521.125239
-50.980324,1000,521.125249
-37.743076,1000,521.125258
-30.69327,1000,521.125267
-49.49485,1000,521.125277
-60.91173,1000,521.125285
-43.21766,1000,521.125295
-39.394054,1000,521.125304
57.692787,1000,521.125313
-33.54452,1000,521.125322
14.4583435,1000,521.125331
-36.87695,1000,521.125341
-27.5865,1000,521.12535
-41.176567,1000,521.125359
-34.708065,1000,521.125368
-52.191147,1000,521.125378
-48.41262,1000,521.125387
-73.68364,1000,521.125396
-72.221756,1000,521.125406
-69.99956,1000,521.125415
-37.869907,1000,521.125424
-35.593323,1000,521.125434
-54.716824,1000,521.125443
-33.823708,1000,521.125452
-23.077206,1000,521.125461
-21.768532,1000,521.12547
-41.780735,1000,521.12548
-34.426464,1000,521.125489
-67.74146,1000,521.125499
-46.708424,1000,521.125507
-0.3829162,1000,521.125517
-13.85768,1000,521.12553
-41.176445,1000,521.125539
-4.7614717,1000,521.125549
-48.629982,1000,521.125558
-47.916634,1000,521.125567
-42.96584,1000,521.125576
-68.85773,1000,521.125586
-49.152466,1000,521.125595
-23.91334,1000,521.125604
-53.57127,1000,521.125613
-31.899858,1000,521.125622
-45.94594,1000,521.125632
-31.65498,1000,521.125641
-29.824614,1000,521.12565
-30.313873,1000,521.125659
-38.405888,1000,521.125669
-49.218655,1000,521.125678
-31.03477,1000,521.125687
-32.432587,1000,521.125697
-44.444416,1000,521.125706
-36.8423,1000,521.125715
-41.6055,1000,521.125724
-20.634512,1000,521.125733
-68.152466,1000,521.125743
-51.889935,1000,521.125752
-42.953087,1000,521.125761
-76.58805,1000,521.12577
10.29376,1000,521.125779
-32.660095,1000,521.125788
-30.000137,1000,521.125798
-9.774476,1000,521.125807
-36.02715,1000,521.125816
-39.490585,1000,521.125825
-40.594143,1000,521.125834
-35.691494,1000,521.125843
-28.571587,1000,521.125852
-43.143856,1000,521.125861
-11.016864,1000,521.12587
-27.756912,1000,521.12588
-32.075657,1000,521.125889
7.7438655,1000,521.125898
-150.81316,672,871.241173
-142.72012,680,875.416485
-167.00998,922,1001.195555
-171.1874,925,1002.78916
-147.63867,929,1004.883831
-60.525997,1000,1006.363437
-46.268642,1000,1023.690239
42.361416,1000,1024.190963
-56.834312,1000,1027.89673
-66.911354,1000,1043.32049
-37.293793,1000,1043.32054
-58.646328,1000,1043.320557
-48.629955,1000,1043.320569
-64.62989,1000,1043.32058
-55.999783,1000,1043.320591
-14.191297,1000,1043.320601
57.025803,1000,1043.320611
-51.219425,1000,1043.320621
-60.992607,1000,1043.320631
-38.14443,1000,1043.32064
-61.16479,1000,1043.320649
-78.46093,1000,1043.320659
-32.075302,1000,1043.320668
-12.337785,1000,1043.320678
-51.048824,1000,1043.320687
-68.55302,1000,1043.320696
-38.46172,1000,1043.320705
7.3823266,1000,1043.320715
-53.41602,1000,1043.320724
-40.251614,1000,1043.320733
27.340595,1000,1043.320743
-71.060646,1000,1043.320752
-59.409355,1000,1043.320761
-78.1016,1000,1043.320771
-43.608807,1000,1043.32078
-43.33334,1000,1043.320789
-60.93722,1000,1043.320798
-58.04171,1000,1043.320807
-34.30679,1000,1043.320817
68.54022,1000,1043.320826
-63.369667,1000,1043.320836
-37.500153,1000,1043.320845
-78.19255,1000,1043.320855
-37.062874,1000,1043.320864
-30.796116,1000,1043.320873
-18.51864,1000,1043.320883
-0.3433311,1000,1043.320901
-46.902245,1000,1043.320912
-68.85773,1000,1043.320921
-68.7496,1000,1043.32093
-56.04375,1000,1043.320938
-60.474068,1000,1043.320946
-51.29861,1000,1043.320955
-30.817621,1000,1043.320964
-64.42656,1000,1043.320972
-63.234886,1000,1043.320981
-74.99947,1000,1043.320989
-38.416573,1000,1043.320997
-25.79477,1000,1043.321006
-33.333454,1000,1043.321014
-68.94366,1000,1043.321023
-7.936612,1000,1043.321032
-71.42809,1000,1043.32104
-51.388817,1000,1043.321048
-19.708317,1000,1043.321057
51.752026,1000,1043.321065
67.31639,1000,1043.321073
-71.73099,1000,1043.321082
-49.15249,1000,1043.32109
-73.15388,1000,1043.321098
-59.30207,1000,1043.321107
-72.31786,1000,1043.321115
-14.4981165,1000,1043.321123
-47.88271,1000,1043.321132
-33.071114,1000,1043.32114
-3.3450696,1000,1043.321149
-55.101883,1000,1043.321157
-36.639297,1000,1043.321166
-60.853832,1000,1043.321174
-60.85382,1000,1043.321182
-62.19903,1000,1043.321191
-58.944046,1000,1043.3212
-24.731455,1000,1043.321208
-36.619797,1000,1043.321217
15.385569,1000,1043.321225
-55.631237,1000,1043.321239
-74.762886,1000,1043.321249
-50.33092,1000,1043.321257
-71.529785,1000,1043.321265
-35.275272,1000,1043.321274
-24.138224,1000,1043.321282
-53.900543,1000,1043.32129
-66.16507,1000,1043.321299
-30.313492,1000,1043.321307
-57.186337,1000,1043.321315
-41.935562,1000,1043.321324
-50.57023,1000,1043.321332
-52.777645,1000,1043.321341
-15.624888,1000,1043.321349
-72.0275,1000,1043.321357
14.584074,1000,1398.289858
-42.942944,1000,1402.505307
-147.24268,725,1426.322947
-151.244,746,1437.37392
-150.17262,830,1481.706409
-148.73198,831,1482.217819
-159.9209,832,1482.728343
-156.71811,845,1489.701761
10.320772,1000,1530.467383
-31.4079,1000,1532.087486
-31.972816,1000,1534.204359
-45.76269,1000,1535.708179
-154.37466,963,1552.236945
2.8940787,1000,1553.392206
-73.07644,1000,1553.903804
-135.7069,969,1555.534189
-34.64064,1000,1557.671419
-33.99361,1000,1573.311991
65.04889,1000,1573.312042
55.62963,1000,1573.312058
-7.4626694,1000,1573.31207
-39.285847,1000,1573.312081
-5.7235146,1000,1573.312091
29.870289,1000,1573.312101
-46.92722,1000,1573.312111
56.488777,1000,1573.312121
34.897736,1000,1573.312131
-49.99992,1000,1573.31214
-23.999691,1000,1573.31215
94.03055,1000,1573.312159
26.866611,1000,1573.312169
-42.12223,1000,1573.312178
-32.0757,1000,1573.312188
75.49777,1000,1573.312197
6.7617917,1000,1573.312206
-30.693293,1000,1573.312216
-30.65719,1000,1573.312226
-41.81826,1000,1573.312241
-16.981129,1000,1573.312251
-18.51838,1000,1573.31226
-58.08358,1000,1573.31227
-42.307777,1000,1573.312279
-32.20334,1000,1573.312288
-16.995636,1000,1573.312297
-32.886032,1000,1573.312306
-12.16229,1000,1573.312316
-53.73653,1000,1573.312325
8.209759,1000,1573.312334
55.764244,1000,1573.312344
-19.413794,1000,1573.312353
-48.97943,1000,1573.312362
17.155584,1000,1573.312372
11.84197,1000,1573.312382
54.606255,1000,1573.312391
-35.810932,1000,1573.3124
-6.5740967,1000,1573.31241
-30.15897,1000,1573.312419
-6.896031,1000,1573.312429
-37.500004,1000,1573.312439
-54.09823,1000,1573.312449
-28.839193,1000,1573.312458
40.67307,1000,1573.312468
-59.50124,1000,1573.312477
41.81904,1000,1573.312486
-8.162824,1000,1573.312496
-53.73646,1000,1573.312505
-64.02844,1000,1573.312514
-27.869019,1000,1573.312524
-46.488132,1000,1573.312534
-19.504196,1000,1573.312543
-40.000065,1000,1573.312553
42.335762,1000,1573.312562
-67.50856,1000,1573.312571
100.70466,1000,1573.312581
-31.15964,1000,1573.31259
-63.815384,1000,1573.312599
-72.221756,1000,1573.312609
-66.153496,1000,1573.312618
-21.052853,1000,1573.312628
-70.77848,1000,1573.312637
38.996784,1000,1573.312647
-67.35861,1000,1573.312656
-48.275806,1000,1573.312665
-29.712723,1000,1573.312675
13.475302,1000,1573.312684
-19.614096,1000,1573.312693
-76.6661,1000,1573.312703
-37.68544,1000,1573.312712
0.32367176,1000,1573.312721
-32.039097,1000,1573.312732
-47.58056,1000,1573.312741
-22.221933,1000,1573.31275
-28.82589,1000,1573.312767
-38.983128,1000,1573.312777
-52.21786,1000,1573.312785
-38.62831,1000,1573.312793
-79.531525,1000,1573.312802
-79.79737,1000,1573.31281
-54.545208,1000,1573.312818
-47.183064,1000,1573.312826
-121.90326,474,1826.740653
-161.96066,824,1930.619511
-14.590482,1000,1932.145082
66.135284,1000,1936.431099
-20.151714,1000,1960.811671
54.98256,1000,1972.005574
-110.107666,788,1994.46222
-127.2515,871,2000.859628
-51.219063,1000,2017.002554
59.37629,1000,2017.518191
14.865768,1000,2018.033629
-123.4,835,2019.708992
136.55971,1000,2066.327084
-80.19739,1000,2067.996769
-125.003235,929,2070.142362
-4.1528816,1000,2071.678319
-21.641848,1000,2088.287127
26.812775,1000,2089.423359
-23.34476,1000,2089.938471
-122.856026,969,2091.597637
13.432543,1000,2091.597686
-18.215307,1000,2093.738093
-21.98608,1000,2109.414105
-37.70419,1000,2109.414157
-25.26701,1000,2109.414173
-30.000092,1000,2109.414185
-69.387314,1000,2109.414195
-35.97582,1000,2109.414205
-1.5145265,1000,2109.414214
95.51358,1000,2109.414224
-43.548218,1000,2109.41424
-38.628326,1000,2109.414251
60.25693,1000,2109.41426
-72.602196,1000,2109.414269
68.919685,1000,2109.414279
105.212654,1000,2109.414289
47.65078,1000,2109.414298
85.32944,1000,2109.414307
-20.86361,1000,2109.414316
-57.528767,1000,2109.414326
-7.936707,1000,2109.414335
102.952545,1000,2109.414345
38.157787,1000,2109.414354
1.0099885,1000,2109.414363
-61.80527,1000,2109.414373
54.122627,1000,2109.414382
56.862705,1000,2109.414391
-65.11594,1000,2109.414401
24.11358,1000,2109.41441
42.85835,1000,2109.414419
-68.7496,1000,2109.414429
-64.70556,1000,2109.414438
16.19789,1000,2109.414447
15.384245,1000,2109.414456
43.83593,1000,2109.414465
27.0359,1000,2109.414474
51.079174,1000,2109.414484
-42.23804,1000,2109.414493
-32.258232,1000,2109.414502
-28.1253,1000,2109.414511
85.4108,1000,2109.41452
-27.798124,1000,2109.41453
-78.65794,1000,2109.414539
119.85902,1000,2109.414548
