#{"t_start": 1734423170.010326, "env_id": "None"}
r,l,t
-164.5623,919,487.18011
-176.62761,984,520.735944
-70.58781,1000,530.616901
-38.461662,1000,530.616955
-77.185745,1000,530.616973
-76.97312,1000,530.616985
-71.786194,1000,530.616996
-56.1751,1000,530.617007
-43.859707,1000,530.617017
-39.06771,1000,530.617027
-39.92939,1000,530.617037
-67.50862,1000,530.617046
-78.812965,1000,530.617056
-58.729473,1000,530.617066
-63.63572,1000,530.617075
-69.177475,1000,530.617085
-80.391525,1000,530.617095
-61.26721,1000,530.617104
-76.74362,1000,530.617114
-72.69578,1000,530.617123
-82.45547,1000,530.617133
-46.807995,1000,530.617143
-46.707996,1000,530.617152
-66.41727,1000,530.617163
-79.16606,1000,530.617172
-63.76746,1000,530.617182
-68.42066,1000,530.617192
-34.36248,1000,530.617202
-71.78636,1000,530.617212
-67.53208,1000,530.617221
-71.730995,1000,530.617231
-74.99947,1000,530.617241
-78.872635,1000,530.61725
-59.999374,1000,530.617267
-37.956062,1000,530.617278
-25.566433,1000,530.617287
-82.20573,1000,530.617297
-71.73096,1000,530.617307
-78.46095,1000,530.617316
-66.56493,1000,530.617326
-65.27743,1000,530.617335
-59.247246,1000,530.617345
-56.363453,1000,530.617354
-70.6836,1000,530.617364
-81.87245,1000,530.617373
-56.52137,1000,530.617383
-56.375538,1000,530.617393
-79.6604,1000,530.617402
-70.198235,1000,530.617411
-64.78841,1000,530.617421
-69.03972,1000,530.61743
-24.528404,1000,530.61744
-81.70666,1000,530.61745
-64.071526,1000,530.617459
-66.21584,1000,530.617469
-76.83343,1000,530.617478
-68.84695,1000,530.617488
-50.52964,1000,530.617497
-71.73098,1000,530.617507
-79.23815,1000,530.617516
-70.25957,1000,530.617526
-64.028465,1000,530.617535
-79.521576,1000,530.617545
-59.409157,1000,530.617554
-45.33757,1000,530.617564
-73.59688,1000,530.617573
-62.120846,1000,530.617583
-63.33302,1000,530.617592
-75.30812,1000,530.617602
-78.6471,1000,530.617611
-77.12348,1000,530.61762
-81.19058,1000,530.61763
-81.70666,1000,530.61764
-47.73514,1000,530.617649
-37.70495,1000,530.617659
-58.801266,1000,530.617668
-80.89108,1000,530.617678
-69.1776,1000,530.617688
-73.383545,1000,530.617697
-73.15387,1000,530.617707
-51.4558,1000,530.617717
-26.98412,1000,530.617726
-62.198784,1000,530.617736
-49.494884,1000,530.617745
-82.01373,1000,530.617755
-67.74154,1000,530.617765
-58.990307,1000,530.617774
-43.619854,1000,530.617784
-70.80242,1000,530.617794
-52.89844,1000,530.617803
-74.84225,1000,530.617813
-75.17664,1000,530.617822
-73.06349,1000,530.617832
-67.319885,1000,530.617841
-82.39369,1000,530.617851
-68.85767,1000,530.61786
-81.59444,1000,530.61787
-61.66071,1000,530.617879
-65.98603,1000,530.617889
-63.099346,1000,530.617898
-115.03776,405,745.191291
-122.47961,527,809.778386
-131.0622,553,823.575005
-139.63245,596,846.500717
-136.78636,597,847.019669
-145.09995,702,902.633611
-129.52046,702,902.633663
-101.37281,342,926.546141
-159.93184,777,942.453123
-127.47974,786,947.387963
6.3828206,1000,1017.651157
-99.103035,180,1021.951694
-45.686787,1000,1052.145415
-98.228134,208,1052.673549
-75.830284,1000,1062.151616
-52.97735,1000,1062.151664
-3.5365818,1000,1062.151682
-13.649196,1000,1062.151694
-46.371956,1000,1062.151704
10.344646,1000,1062.151714
-60.288235,1000,1062.151724
1.0455415,1000,1062.151733
26.760843,1000,1062.151743
-6.060085,1000,1062.151752
-70.58778,1000,1062.151762
-71.63075,1000,1062.151772
-65.15642,1000,1062.151781
-47.88243,1000,1062.15179
-32.203632,1000,1062.1518
-26.056473,1000,1062.15181
-43.894352,1000,1062.15182
-30.146795,1000,1062.151829
-47.368298,1000,1062.151838
-77.8592,1000,1062.151848
-41.36812,1000,1062.151858
-80.391525,1000,1062.151867
-41.557945,1000,1062.151877
-43.21768,1000,1062.151886
-64.96773,1000,1062.151896
-24.187975,1000,1062.151905
-68.74957,1000,1062.151915
-32.432648,1000,1062.151925
-34.06585,1000,1062.151934
-46.37211,1000,1062.151943
-65.03462,1000,1062.151953
-38.46157,1000,1062.151962
32.40519,1000,1062.151972
9.434483,1000,1062.151981
-20.152319,1000,1062.151998
-30.23208,1000,1062.152008
-47.019653,1000,1062.152016
-43.573536,1000,1062.152025
31.687782,1000,1062.152034
-66.2573,1000,1062.152042
-32.07545,1000,1062.15205
-54.983685,1000,1062.152059
-80.46813,1000,1062.152067
-60.12234,1000,1062.152076
-68.74937,1000,1062.152084
-47.552334,1000,1062.152092
-31.40814,1000,1062.152101
-78.94678,1000,1062.152109
-49.999527,1000,1062.152117
-82.1422,1000,1062.152126
-5.5376043,1000,1062.152134
-19.73248,1000,1062.152142
-28.082201,1000,1062.15215
-33.993084,1000,1062.152159
-66.41743,1000,1062.152167
-83.76553,1000,1062.152175
-65.83812,1000,1062.152184
-10.256551,1000,1062.152192
-40.07486,1000,1062.1522
-63.234978,1000,1062.152209
-34.782757,1000,1062.152217
-77.27217,1000,1062.152225
-45.337296,1000,1062.152233
-49.494762,1000,1062.152241
-76.97292,1000,1062.15225
-26.68639,1000,1062.152266
-19.860628,1000,1062.152276
-45.392437,1000,1062.152284
-44.852905,1000,1062.152292
-34.782795,1000,1062.152301
-42.857185,1000,1062.152309
-41.558456,1000,1062.152317
-56.81038,1000,1062.152325
-55.172264,1000,1062.152334
-13.689922,1000,1062.152342
-58.490215,1000,1062.15235
-51.612736,1000,1062.152358
-65.86991,1000,1062.152367
-57.57552,1000,1062.152375
-52.541935,1000,1062.152383
-60.713993,1000,1062.152391
-76.40063,1000,1062.1524
-73.15375,1000,1062.152408
-69.69625,1000,1062.152416
-57.44653,1000,1062.152424
23.28787,1000,1062.152432
-2.7779086,1000,1062.152441
-39.102596,1000,1062.152449
8.552582,1000,1062.152457
-35.484024,1000,1343.371851
-36.329453,1000,1357.232679
-16.66655,1000,1380.216468
-73.07645,1000,1380.749393
-6.249726,1000,1436.778857
-76.35066,1000,1436.778908
60.494247,1000,1481.8568
-150.47772,895,1540.320927
-172.2059,901,1543.676039
-10.713908,1000,1553.452633
-30.23226,1000,1557.861773
-17.293344,1000,1588.4969
-31.146908,1000,1589.036523
23.188437,1000,1598.643799
-7.2847457,1000,1598.643848
158.62022,1000,1598.643865
20.754524,1000,1598.643877
-30.555708,1000,1598.643888
-8.087902,1000,1598.643898
32.14268,1000,1598.643909
-16.334858,1000,1598.643919
128.29553,1000,1598.643929
-23.976625,1000,1598.643939
81.81813,1000,1598.643948
-29.053812,1000,1598.643958
